id,title,company,description,location,contractType,secteurActivite,fonction,experienceRequise,experienceLevel,niveauEtude,typeTeletravail,nombrePostes,salary,skills,domain,publishDate,sourceSite,sourceUrl
"0","Formateur Vacataire en ""Exploiter les instruments de mesure"" - Fès","Confidentiel","Nous sommes à la recherche d'un Formateur Vacataire en ""Exploiter les instruments de mesure"". Missions principales : Former les stagiaires à l’identification et à l’exploitation des instruments de mesure et du matériel d’essai en laboratoire et sur chantier ; Développer la compétence des stagiaires à utiliser correctement les instruments selon les principes de métrologie, à caractériser le matériel pour essais géotechniques et contrôle qualité, et à entretenir le matériel conformément aux procédures ; Organiser et superviser les activités pratiques et mises en situation, incluant l’utilisation de logiciels de mesure, de matériels d’essais destructifs et non destructifs,...","Fès","CDD","","","Junior (1-3 ans)","","","","1","","","","10.01.2026","EmploiMa","https://www.emploi.ma/offre-emploi-maroc/formateur-vacataire-exploiter-instruments-mesure-fes-9123083"
"0","Développeur Windev - Agadir","Confidentiel","Nous sommes à la recherche d'un Développeur Windev. Le Développeur Windev conçoit, développe et maintient les applications internes de Vetcam utilisant l’écosystème PC SOFT (Windev, Webdev, Windev Mobile). Il participe activement à la digitalisation des processus de l’entreprise (production, achats, logistique, finance, RH…) et assure l’évolution continue des outils existants pour optimiser l’efficacité opérationnelle. Missions : Développement & maintenance applicative Développer de nouvelles fonctionnalités sous Windev / Webdev / Windev Mobile selon les besoins métiers. Assurer la maintenance corrective et évolutive des applications existantes. Intégrer et interfacer...","Agadir","CDI","","","Junior (1-3 ans)","","","","1","","","","10.01.2026","EmploiMa","https://www.emploi.ma/offre-emploi-maroc/developpeur-windev-agadir-9127468"
"0","Technico-Commercial : Aluminium de Bâtiment - Témara","Confidentiel","Nous recherchons un Technico-commercial spécialisé en Aluminium de Bâtiment chargé de développer et fidéliser un portefeuille clients tout en apportant un accompagnement technique de haut niveau. Il analysera les besoins des professionnels du bâtiment, proposera des solutions adaptées aux projets et assurera un suivi commercial rigoureux. Ce poste requiert à la fois une solide connaissance des systèmes aluminium et un fort sens du commerce et de la relation client.","Rabat","CDI","","","Junior (1-3 ans)","","","","1","","","","10.01.2026","EmploiMa","https://www.emploi.ma/offre-emploi-maroc/technico-commercial-aluminium-batiment-temara-9134022"
"0","Mécanicien et Responsable Service Après-Vente – Motocycles - Casablanca","Logo non disponible","Nous sommes à la recherche d'un Mécanicien et Responsable Service Après-Vente – Motocycles. Mission principale Assurer l’entretien, la réparation et le diagnostic des motocycles, tout en garantissant un service après-vente de qualité, orienté vers la satisfaction client et la fidélisation. Responsabilités clés Réaliser les opérations de maintenance préventive et corrective sur les motocycles (moteur, transmission, freins, suspension, électronique). Diagnostiquer les pannes mécaniques et électriques avec précision. Effectuer les réparations dans le respect des normes de sécurité et de qualité. Gérer le service après-vente : accueil des clients, suivi des réparations, gestion des réclamations...","Casablanca","CDI","","","Junior (1-3 ans)","","","","1","","","","10.01.2026","EmploiMa","https://www.emploi.ma/offre-emploi-maroc/mecanicien-responsable-service-apres-vente-motocycles-casablanca-9134292"
"0","Ingénieur en Sécurité Incendie - Casablanca","Confidentiel","Nous sommes à la recherche d'un Ingénieur en Sécurité Incendie. Missions principales Réaliser les études de sécurité incendie pour projets industriels, tertiaires et infrastructures. Établir les scénarios d’incendie et dimensionner les systèmes de détection, extinction et désenfumage. Rédiger les dossiers techniques (APS, APD, DCE) intégrant les prescriptions incendie. Vérifier la conformité aux normes NFPA, FM Global, APSAD, et aux réglementations marocaines. Assurer la coordination avec les autres disciplines (électricité, GC, HVAC).","Casablanca","CDI","","","Junior (1-3 ans)","","","","1","","","","10.01.2026","EmploiMa","https://www.emploi.ma/offre-emploi-maroc/ingenieur-securite-incendie-casablanca-9139735"
"0","Technicien Qualité - Sala Al Jadida - Technopolis","Confidentiel","Dans le cadre de développement du département qualité, nous recherchons un Technicien de Qualité. Missions : Rattaché au Internal Quality , vos principales missions seront : Traiter les Non-Conformités en réalisant des analyses, en assurant la mise en œuvre des sécurisations éventuelles suite aux problèmes qualité rencontrés Garantir la conformité du process en pilotant des Audits QA et en traitant toute éventuelle dérive sur la qualité des produits Veiller au respect des référentiels qualités (Spécification, contrôle, consigne...).","Rabat","CDI","","","Junior (1-3 ans)","","","","1","","","","10.01.2026","EmploiMa","https://www.emploi.ma/offre-emploi-maroc/technicien-qualite-sala-al-jadida-technopolis-9148663"
"0","Secrétaire de Direction Anglophone - Mohammedia","Confidentiel","PME, filiale d’un groupe international à forte notoriété, dans le secteur du contrôle qualité quantité des produits pétroliers, cherche, une Secrétaire de Direction. Rattaché(e) à la Direction Générale, votre principale mission sera : Accueillir une clientèle Filtrer des appels téléphoniques Organiser le planning d'un responsable, collaborateur Rédiger des supports de communication interne (rapport, compte rendu, note...) Traiter l'information (collecter, classer et mettre à jour) Assurer la transmission des informations en interne et en externe (décisions, notes etc.) Coordination entre les différents départements Réaliser la gestion administrative des contrats Organiser des déplacements...","Casablanca","CDI","","","Etudiant, jeune diplômé et plus","","","","1","","","","10.01.2026","EmploiMa","https://www.emploi.ma/offre-emploi-maroc/secretaire-direction-trilingue-mohammedia-9149425"
"0","Designer d´Intérieur - Casablanca","Confidentiel","Nous sommes à la recherche des Designer d'Intérieur. Missions : Accueillir et conseiller les clients avec professionnalisme et chaleur en les accompagnant dans la création de leur espace idéal. Analyser les besoins et les envies des clients pour leur proposer des solutions de design personnalisées, en harmonie avec leurs attentes et leur budget. Assurer la mise en avant des produits, de leur conception à leur mise en place, en veillant à la cohérence du projet dans son ensemble. Contribuer activement à l’animation du point de vente et à la mise en avant des collections. Participer au développement commercial du magasin en identifiant de nouvelles opportunités et en menant des actions de prospection.","Casablanca","CDI","","","Junior (1-3 ans)","","","","1","","","","10.01.2026","EmploiMa","https://www.emploi.ma/offre-emploi-maroc/designer-interieur-rabat-9150529"
"0","Responsable de Maintenance – Parc Engins BTP - Mohammedia","Confidentiel","Nous recherchons un Responsable de Maintenance expérimenté pour superviser et optimiser l’ensemble des opérations de maintenance de notre parc d'engins. Le candidat idéal possède une solide expérience technique, d’excellentes compétences en gestion d’équipe et une forte capacité à assurer la disponibilité et la performance des équipements. Missions principales : Superviser, organiser et planifier les interventions de maintenance préventive et corrective. Diagnostiquer les pannes mécaniques, électriques, hydrauliques et proposer des solutions efficaces. Encadrer et accompagner une équipe de techniciens de maintenance. Assurer le suivi des indicateurs de performance et mettre en place des actions d...","Casablanca","CDI","","","Senior (7+ ans)","","","","1","","","","10.01.2026","EmploiMa","https://www.emploi.ma/offre-emploi-maroc/responsable-maintenance-parc-engins-btp-mohammedia-9151638"
"0","Ingénieur Réseaux et Sécurité Informatique - Casablanca","Confidentiel","Nous sommes à la recherche d'un Ingénieur Réseaux et Sécurité Informatique. Vos missions principales : Assurer le pilotage de l’intégration et du déploiement des solutions techniques choisies. Rédiger la documentation d’architecture ainsi que les procédures d’exploitation associées. Contribuer aux études d’architecture technique globale pour nos clients. Participer à la qualification des plateformes Réseaux, Télécoms et Sécurité proposées. Valider l’installation et l’intégration des outils ou équipements dans les environnements de production clients. Assurer une veille technologique active sur les évolutions du secteur. Développer et maintenir des relations de...","Casablanca","CDI","","","Junior (1-3 ans)","","","","1","","","","10.01.2026","EmploiMa","https://www.emploi.ma/offre-emploi-maroc/ingenieur-reseaux-securite-informatique-casablanca-9153031"
